noun	verb
abandonment	abandon
abasement	abase
abashment	abash
abatement	abate
abator	abate
abbreviation	abbreviate
abbreviator	abbreviate
abdication	abdicate
abdicator	abdicate
abduction	abduct
abductor	abduct
abductor muscle	abduct
aberrance	aberrate
aberrancy	aberrate
aberrant	aberrate
aberration	aberrate
abetment	abet
abettal	abet
abetter	abet
abettor	abet
abhorrence	abhor
abhorrer	abhor
abidance	abide
abidance	abide by
abjuration	abjure
abjurer	abjure
ablactation	ablactate
ablation	ablate
abnegation	abnegate
abnegator	abnegate
abolishment	abolish
abolition	abolish
abomination	abominate
abominator	abominate
abortion	abort
about turn	about-face
abradant	abrade
abradant	abrase
abrader	abrade
abrader	abrase
abrasion	abrade
abrasion	abrase
abrasive	abrade
abrasive	abrase
abrasive material	abrade
abrasive material	abrase
abreaction	abreact
abridgement	abridge
abridger	abridge
abridgment	abridge
abrogation	abrogate
abrogator	abrogate
abscission	abscise
absconder	abscond
abscondment	abscond
absence	absent
absentee	absent
absolution	absolve
absolver	absolve
absorbate	absorb
absorbent	absorb
absorbent material	absorb
absorber	absorb
absorption	absorb
abstainer	abstain
abstention	abstain
abstinence	abstain
abstinent	abstain
abstract entity	abstract
abstracter	abstract
abstraction	abstract
abstractor	abstract
abuser	abuse
abutment	abut
abutter	abut
acceleration	accelerate
accelerator	accelerate
accelerator pedal	accelerate
accent	accentuate
accenting	accent
accenting	accentuate
accent mark	accent
accent mark	accentuate
accentuation	accent
accentuation	accentuate
acceptance	accept
acceptation	accept
accession	accede
accession	access
acclamation	acclaim
acclimation	acclimate
acclimation	acclimatise
acclimation	acclimatize
acclimatisation	acclimate
acclimatisation	acclimatise
acclimatisation	acclimatize
acclimatization	acclimate
acclimatization	acclimatise
acclimatization	acclimatize
accommodation	accommodate
accommodator	accommodate
accompaniment	accompany
accompanist	accompany
accompanyist	accompany
accomplishment	accomplish
accordance	accord
accordance of rights	accord
accountancy	account
accountant	account
accounting	account
accounting system	account
account statement	account
accreditation	accredit
accretion	accrete
accrual	accrue
accruement	accrue
acculturation	acculturate
accumulation	accumulate
accusal	accuse
accusation	accuse
accuser	accuse
acerbity	acerbate
acetum	acetify
acetyl	acetylate
acetyl	acetylise
acetyl	acetylize
acetylation	acetylate
